"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2022","99.9200","99.9175","99.9225","99.9150","121.34K","0.00%"
"12/01/2021","99.9200","99.9200","99.9225","99.9150","89.94K","0.00%"
"11/01/2021","99.9200","99.9225","99.9250","99.9175","111.77K","0.00%"
"10/01/2021","99.9200","99.9250","99.9275","99.9200","88.38K","0.00%"
"09/01/2021","99.9200","99.9200","99.9275","99.9200","77.22K","0.01%"
"08/01/2021","99.9075","99.9075","99.9100","99.9025","126.59K","0.01%"
"07/01/2021","99.9000","99.9050","99.9075","99.9000","99.86K","-0.02%"
"06/01/2021","99.9200","99.9300","99.9375","99.9175","213.66K","-0.02%"
"05/01/2021","99.9400","99.9300","99.9425","99.9250","154.82K","0.01%"
"04/01/2021","99.9300","99.9400","99.9425","99.9275","226.94K","0.00%"
"03/01/2021","99.9300","99.9325","99.9350","99.9250","208.37K","0.01%"
"02/01/2021","99.9225","99.9400","99.9400","99.9225","317.72K","0.00%"
"01/01/2021","99.9215","99.9175","99.9200","99.9100","143.79K","0.01%"
"12/01/2020","99.9125","99.9175","99.9200","99.9075","109.50K","0.00%"
"11/01/2020","99.9125","99.9125","99.9150","99.9100","112.37K","0.00%"
"10/01/2020","99.9100","99.9175","99.9200","99.9100","102.62K","0.00%"
"09/01/2020","99.9100","99.9150","99.9225","99.9075","196.81K","0.01%"
"08/01/2020","99.9050","99.9175","99.9175","99.9025","101.70K","0.00%"
"07/01/2020","99.9050","99.9275","99.9300","99.9050","146.01K","-0.02%"
"06/01/2020","99.9200","99.9475","99.9500","99.9075","190.93K","-0.03%"
"05/01/2020","99.9475","99.9550","99.9575","99.9450","150.51K","0.00%"
"04/01/2020","99.9500","99.9275","99.9525","99.9250","328.84K","0.61%"
"03/01/2020","99.3475","98.6650","99.4400","98.6550","1.35M","0.95%"
"02/01/2020","98.4150","98.4125","98.4200","98.4075","389.69K","-0.04%"
"01/01/2020","98.4500","98.4475","98.4550","98.4450","317.45K","0.00%"
"12/01/2019","98.4475","98.4375","98.4500","98.4325","377.45K","0.00%"
"11/01/2019","98.4450","98.4125","98.4475","98.4125","539.90K","0.28%"
"10/01/2019","98.1675","98.1500","98.1800","98.1425","621.82K","0.21%"
"09/01/2019","97.9575","97.9775","97.9925","97.9150","755.21K","0.09%"
"08/01/2019","97.8725","97.8475","97.8875","97.8450","876.55K","0.28%"
"07/01/2019","97.5950","97.6300","97.6350","97.5950","609.44K","-0.03%"
"06/01/2019","97.6200","97.6225","97.6500","97.6175","778.72K","0.01%"
"05/01/2019","97.6100","97.5825","97.6225","97.5775","955.09K","0.04%"
"04/01/2019","97.5750","97.5950","97.5975","97.5750","287.60K","-0.02%"
"03/01/2019","97.5950","97.5975","97.6025","97.5950","172.74K","0.00%"
"02/01/2019","97.5975","97.6000","97.6025","97.5975","168.09K","0.00%"
"01/01/2019","97.6000","97.5975","97.6025","97.5975","265.97K","-0.13%"
"12/01/2018","97.7250","97.7250","97.7400","97.7200","351.85K","-0.08%"
"11/01/2018","97.8025","97.7975","97.8050","97.7925","301.12K","-0.01%"
"10/01/2018","97.8125","97.8200","97.8200","97.8100","232.84K","-0.24%"
"09/01/2018","98.0450","98.0500","98.0525","98.0450","132.77K","-0.04%"
"08/01/2018","98.0850","98.0825","98.0900","98.0825","163.64K","0.00%"
"07/01/2018","98.0875","98.0825","98.0900","98.0800","123.73K","-0.09%"
"06/01/2018","98.1800","98.1850","98.1850","98.1725","300.12K","-0.12%"
"05/01/2018","98.3000","98.2925","98.3025","98.2900","208.75K","-0.01%"
"04/01/2018","98.3075","98.3225","98.3250","98.3075","233.82K","-0.19%"
"03/01/2018","98.4975","98.5075","98.5100","98.4950","248.97K","-0.09%"
"02/01/2018","98.5825","98.5825","98.5850","98.5775","382.46K","-0.01%"
"01/01/2018","98.5875","98.5925","98.5925","98.5825","199.62K","-0.11%"
"12/01/2017","98.7000","98.7100","98.7125","98.6975","209.37K","-0.14%"
"11/01/2017","98.8425","98.8425","98.8450","98.8400","80.14K","0.00%"
"10/01/2017","98.8450","98.8475","98.8475","98.8450","52.05K","0.00%"
"09/01/2017","98.8450","98.8450","98.8475","98.8425","97.71K","0.00%"
"08/01/2017","98.8450","98.8450","98.8450","98.8425","105.50K","-0.01%"
"07/01/2017","98.8500","98.8500","98.8500","98.8475","57.43K","-0.11%"
"06/01/2017","98.9600","98.9775","98.9775","98.9575","107.27K","-0.14%"
"05/01/2017","99.0950","99.0925","99.0950","99.0925","164.42K","-0.01%"
"04/01/2017","99.1050","99.1075","99.1100","99.1025","229.89K","-0.11%"
"03/01/2017","99.2150","99.2500","99.2500","99.2125","209.18K","-0.13%"
"02/01/2017","99.3425","99.3400","99.3450","99.3400","158.76K","-0.01%"
"01/01/2017","99.3500","99.3575","99.3575","99.3500","203.67K","-0.12%"
"12/01/2016","99.4650","99.4700","99.4725","99.4625","89.24K","-0.13%"
"11/01/2016","99.5925","99.5875","99.5975","99.5875","363.41K","-0.01%"
"10/01/2016","99.6050","99.6100","99.6100","99.6025","319.78K","0.00%"
"09/01/2016","99.6025","99.5800","99.6050","99.5750","210.34K","0.00%"
"08/01/2016","99.6025","99.6075","99.6075","99.6000","152.24K","-0.01%"
"07/01/2016","99.6075","99.6225","99.6225","99.6025","95.43K","-0.02%"
"06/01/2016","99.6225","99.6050","99.6350","99.6025","308.07K","-0.01%"
"05/01/2016","99.6325","99.6375","99.6400","99.6325","134.22K","-0.01%"
"04/01/2016","99.6375","99.6350","99.6400","99.6325","63.50K","0.00%"
"03/01/2016","99.6375","99.6175","99.6400","99.6150","221.59K","0.01%"
"02/01/2016","99.6250","99.6325","99.6325","99.6225","101.95K","-0.03%"
"01/01/2016","99.6575","99.6650","99.6675","99.6550","133.79K","-0.10%"
"12/01/2015","99.7600","99.7800","99.7900","99.7525","170.53K","-0.12%"
"11/01/2015","99.8800","99.8675","99.8825","99.8675","173.81K","0.01%"
"10/01/2015","99.8750","99.8600","99.8775","99.8600","194.52K","0.01%"
"09/01/2015","99.8625","99.8200","99.8650","99.8200","143.96K","0.00%"
"08/01/2015","99.8625","99.8675","99.8700","99.8600","106.91K","-0.01%"
"07/01/2015","99.8700","99.8650","99.8725","99.8650","83.64K","0.00%"
"06/01/2015","99.8700","99.8750","99.8750","99.8625","80.81K","-0.01%"
"05/01/2015","99.8750","99.8700","99.8775","99.8650","66.40K","0.00%"
"04/01/2015","99.8775","99.8750","99.8800","99.8725","42.87K","-0.01%"
"03/01/2015","99.8850","99.8825","99.8875","99.8775","36.62K","0.00%"
"02/01/2015","99.8875","99.8750","99.8875","99.8725","43.18K","0.01%"
"01/01/2015","99.8825","99.8850","99.8925","99.8775","23.48K","0.01%"
"12/01/2014","99.8775","99.8900","99.8925","99.8750","49.02K","-0.03%"
"11/01/2014","99.9050","99.9100","99.9125","99.9025","27.89K","-0.01%"
"10/01/2014","99.9125","99.9150","99.9250","99.9100","23.67K","0.00%"
"09/01/2014","99.9125","99.9100","99.9125","99.9075","15.36K","0.00%"
